r_value	time
r=0.06	2.7192187309265137,2.8343169689178467,2.6972241401672363,2.727717876434326,2.677232265472412,2.6414551734924316,2.787665843963623,2.6431400775909424,2.640644073486328,2.6451849937438965,2.629956007003784,2.6652109622955322,2.636199712753296,2.7466180324554443,2.9946532249450684,2.6824498176574707,2.686992883682251,2.658704996109009,2.650465965270996,2.7062489986419678,2.6485209465026855,2.839956045150757,2.6633458137512207,2.6776530742645264,2.6767680644989014,2.6504740715026855,2.6425929069519043,2.6333179473876953,2.7974789142608643,2.7817728519439697,2.7486188411712646,2.713347911834717,2.729400157928467,2.641813039779663,2.6543850898742676,2.6475698947906494,2.6420681476593018,2.641127824783325,2.634305953979492,2.85433030128479,2.655164957046509,2.6498517990112305,2.6569581031799316,2.6675140857696533,2.637655019760132,2.6461219787597656,2.7644450664520264,2.737459182739258,2.655090093612671,2.6935877799987793
r=0.08	3.1403660774230957,3.132909059524536,3.1211891174316406,3.2003190517425537,3.162184953689575,3.1268978118896484,3.275160074234009,3.1394219398498535,3.1384263038635254,3.1810109615325928,3.1331732273101807,3.3393259048461914,3.1364779472351074,3.2328948974609375,3.19690203666687,3.186476230621338,3.137906789779663,3.1620140075683594,3.143420934677124,3.2003777027130127,3.135963201522827,3.3373677730560303,3.163785934448242,3.1755592823028564,3.1522738933563232,3.1368041038513184,3.147724151611328,3.126081943511963,3.2813878059387207,3.1684789657592773,3.2182047367095947,3.2014729976654053,3.2177529335021973,3.158329963684082,3.2285282611846924,3.284245014190674,3.274243116378784,3.2432568073272705,3.2504711151123047,3.4553608894348145,3.2867510318756104,3.400362968444824,3.8975560665130615,3.32849383354187,3.305845022201538,3.3289971351623535,3.412398099899292,3.243093967437744,3.1573097705841064,3.1671319007873535
r=0.10	3.8274009227752686,3.877519130706787,3.6885430812835693,3.7045249938964844,3.592007875442505,3.650614023208618,3.6723620891571045,3.5783331394195557,3.5730199813842773,3.5342981815338135,3.5333917140960693,3.57726788520813,3.5359208583831787,3.647747039794922,3.6151130199432373,3.589693307876587,3.5543129444122314,3.5576729774475098,3.5677530765533447,3.6042141914367676,3.5620431900024414,3.7343199253082275,3.5656471252441406,3.578432083129883,3.5563340187072754,3.550999164581299,3.5587589740753174,3.536005973815918,3.6630167961120605,3.5992319583892822,3.6877901554107666,3.837594985961914,3.6444127559661865,3.557027816772461,3.5606491565704346,3.531420946121216,3.5551259517669678,3.677983045578003,3.5398950576782227,3.743149995803833,3.5846989154815674,3.5494329929351807,3.5639450550079346,3.5757150650024414,3.5413248538970947,3.5473220348358154,3.641950845718384,3.6525979042053223,3.678999900817871,3.549582004547119
r=0.20	6.618319034576416,6.650266170501709,6.64116907119751,6.710472822189331,6.706053256988525,6.667980194091797,6.894917011260986,6.723064184188843,6.736195802688599,6.71170711517334,6.793954133987427,6.936642169952393,6.732513904571533,6.838284015655518,6.835729122161865,6.7828569412231445,6.753283977508545,6.7669970989227295,6.756924867630005,6.885906934738159,6.778278112411499,6.957229137420654,6.777011156082153,6.795780897140503,6.760704040527344,6.8565590381622314,6.758738279342651,6.7528159618377686,6.876537084579468,7.04699969291687,6.841576099395752,6.811697959899902,6.886143922805786,6.753821134567261,6.809685945510864,6.679635047912598,6.64514684677124,6.696177959442139,6.701205015182495,6.9197399616241455,6.716503143310547,6.743336200714111,6.80908203125,6.780931234359741,6.754404067993164,6.807963132858276,6.856594085693359,7.092381954193115,6.844609022140503,6.788540840148926
r=0.30	13.843806982040405,15.257696866989136,13.956568002700806,14.597675085067749,15.246701002120972,14.863412141799927,16.120062828063965,15.547348976135254,14.90397334098816,14.562359094619751,14.005738019943237,13.991127729415894,13.937902927398682,14.100328207015991,14.026276111602783,14.194347858428955,13.865010976791382,13.921348094940186,13.903928756713867,13.996031045913696,13.78954792022705,14.080256938934326,13.928867816925049,13.956027030944824,14.218553066253662,13.979821920394897,13.992305994033813,14.053367853164673,14.10581088066101,14.026530027389526,13.985129117965698,14.001574993133545,14.054908275604248,14.298017024993896,14.023607015609741,13.839552879333496,13.91944694519043,13.910269021987915,13.869507074356079,14.095869779586792,13.977797746658325,14.242598056793213,13.98999285697937,14.05100679397583,13.994994163513184,13.962168216705322,14.040374994277954,14.031173944473267,13.904634952545166,13.877646684646606
r=0.40	22.772316932678223,22.990262746810913,22.51854681968689,22.693841218948364,22.698097944259644,22.935592889785767,22.802563905715942,22.72018790245056,22.849146842956543,22.94932723045349,22.47737979888916,22.98426079750061,23.1739399433136,23.17707896232605,22.907674312591553,22.89730930328369,23.27890396118164,22.861865997314453,22.87429904937744,23.651193857192993,23.362560033798218,23.49557590484619,22.793784856796265,22.80387592315674,22.878340244293213,23.160563945770264,23.26009178161621,22.916096210479736,22.917634963989258,22.904271125793457,22.931960105895996,22.836966037750244,23.321710109710693,23.04901623725891,23.03422498703003,22.972182989120483,23.074769258499146,23.19124674797058,23.247057914733887,23.44238781929016,23.298481225967407,22.977917909622192,23.131975889205933,23.05658984184265,22.81771421432495,22.942289113998413,23.05095386505127,23.13472628593445,23.66832995414734,23.182903051376343
r=0.50	38.511446714401245,39.546372175216675,39.24552321434021,35.956490993499756,37.88333511352539,37.65029191970825,38.7756507396698,34.54641628265381,33.957375288009644,33.90840125083923,33.93667507171631,34.3387930393219,34.41129493713379,34.12211322784424,34.111308097839355,34.12973093986511,33.96973204612732,34.096834897994995,34.1476469039917,34.40158987045288,34.34436297416687,34.30295205116272,34.13345384597778,34.028456926345825,34.248290061950684,33.87081694602966,34.046408891677856,33.32123804092407,33.67400598526001,33.6518349647522,33.72597312927246,34.249557971954346,33.67699575424194,33.332566022872925,33.64665102958679,33.557284116744995,33.8166139125824,33.954214334487915,34.083351135253906,36.54645824432373,37.41856813430786,36.29715085029602,35.937949895858765,34.25649285316467,33.950515270233154,34.27989363670349,34.52643609046936,34.295636892318726,34.17097592353821,35.08137392997742
r=0.60	40.635375022888184,41.69183802604675,41.032485008239746,40.20496726036072,40.3225679397583,40.403586626052856,40.7774600982666,40.351091146469116,40.84769821166992,40.60723519325256,40.137128829956055,41.42333197593689,40.5091347694397,40.75994086265564,41.102022886276245,40.805854082107544,42.38621807098389,40.7250120639801,40.74177837371826,41.24697494506836,41.04929304122925,40.55504608154297,40.659871101379395,40.421879053115845,40.924214124679565,40.52201771736145,40.504860162734985,40.11248803138733,40.709787130355835,41.19445300102234,40.71400189399719,41.03060984611511,41.328044176101685,41.156697034835815,40.66887092590332,40.37570405006409,41.08566498756409,40.95599102973938,40.76254916191101,40.666500091552734,41.302371978759766,41.20084095001221,40.84214401245117,40.733518838882446,41.00720405578613,41.656329870224,41.14427614212036,40.86789679527283,40.861958026885986,41.45873308181763
r=0.70	48.07867407798767,47.96845102310181,47.76747488975525,47.690791845321655,47.82057499885559,47.67873811721802,47.78517293930054,47.68637800216675,47.72925305366516,47.68944478034973,47.777920961380005,47.80824875831604,47.69550371170044,47.68462896347046,47.86235332489014,47.689528942108154,47.68622183799744,47.751420974731445,47.70002889633179,47.72665286064148,47.86146092414856,48.285902976989746,47.871801137924194,47.9224169254303,47.864171743392944,47.819403886795044,47.81392002105713,47.8833909034729,47.91002106666565,47.89288401603699,47.959638833999634,47.923555850982666,48.27343726158142,47.95392107963562,47.91594886779785,47.895591259002686,47.88095188140869,47.91931700706482,48.573848247528076,48.24262285232544,47.95569705963135,47.720415115356445,47.75607395172119,47.794395208358765,47.68854904174805,47.68389821052551,47.763378858566284,47.959532022476196,47.72026610374451,47.623685121536255
r=0.80	57.43295478820801,57.664111852645874,57.609824895858765,57.45217823982239,57.631394147872925,58.091306924819946,58.15164017677307,57.80815601348877,57.53517198562622,57.52878379821777,57.528645753860474,57.327911138534546,57.55290412902832,57.54113507270813,57.59093189239502,57.49498009681702,57.59336495399475,57.5416202545166,57.59157109260559,57.48246097564697,57.463074922561646,57.773442029953,57.873353004455566,57.65174102783203,57.57397389411926,57.5386323928833,57.584826707839966,57.7466607093811,57.66182518005371,57.59088587760925,57.8046498298645,57.730626821517944,57.72723698616028,58.050209045410156,57.679957151412964,57.62938070297241,57.71921491622925,58.03777623176575,57.7096152305603,57.83958387374878,57.634113073349,57.85874104499817,57.694316148757935,57.734113931655884,57.685134172439575,57.7581000328064,57.62157893180847,57.75782895088196,57.734097957611084,57.69075918197632
