r_value	rank_corr_train
r=0.06	0.20161966979503632,0.38737761974334717,0.5357901453971863,0.386273056268692,0.5215329527854919,0.35977816581726074,0.02327372133731842,0.5400429964065552,0.565263032913208,0.4020020663738251,0.2794085144996643,0.6254887580871582,0.22607381641864777,0.47226783633232117,0.5825115442276001,0.34633347392082214,0.3451649248600006,0.2921883761882782,0.6208409667015076,0.6214104890823364,0.6087532639503479,0.3051738739013672,0.667431116104126,0.3928317129611969,0.6149715781211853,0.19444260001182556,0.5281742811203003,0.3141041398048401,0.27457448840141296,0.6429576277732849,0.24297308921813965,0.4330933094024658,0.459749698638916,0.5039597153663635,0.5763151049613953,0.5745996832847595,0.5429797768592834,0.4091311991214752,0.32429933547973633,0.24247997999191284,0.4816546142101288,0.5472351312637329,0.5973410606384277,0.35791903734207153,0.2777181565761566,0.3207395672798157,0.2738080620765686,0.5846005082130432,0.3179173171520233,0.5279597640037537
r=0.08	0.1948198527097702,0.2176283448934555,0.543231725692749,0.2927838861942291,0.5968563556671143,0.3627304434776306,0.00835353136062622,0.6374698281288147,0.18077972531318665,0.026921799406409264,0.2453964501619339,0.6593100428581238,0.09189242124557495,0.5718627572059631,0.41169729828834534,0.34561678767204285,0.34412550926208496,0.3186134994029999,0.5228797793388367,0.41636601090431213,0.541817307472229,0.007704056333750486,0.5792778730392456,0.10438957065343857,0.7103705406188965,0.10986354202032089,0.5685399770736694,0.2549761235713959,0.31385186314582825,0.6224338412284851,0.28025972843170166,0.305135041475296,0.5768367052078247,0.6446765065193176,0.4762468636035919,0.5875810980796814,0.5218278169631958,0.28431689739227295,0.2852790951728821,0.23474803566932678,0.6871830821037292,0.31826403737068176,0.6116032004356384,0.4478667378425598,0.3946043848991394,0.19618798792362213,0.3130911886692047,0.5911807417869568,0.3247959315776825,-0.057155486196279526
r=0.10	0.32714664936065674,0.283414363861084,0.7713565230369568,0.31588923931121826,0.6997646689414978,0.31667405366897583,-0.17389820516109467,0.678217887878418,0.7070334553718567,0.004488901700824499,0.11837656050920486,0.7008641958236694,0.22206582129001617,0.6703120470046997,0.6432300806045532,0.3209913969039917,0.3199283182621002,0.32422101497650146,0.7211598753929138,0.5073710680007935,0.7270340323448181,0.10270565003156662,0.7422087788581848,0.2244863063097,0.7123940587043762,0.20383521914482117,0.6543481349945068,0.24568654596805573,0.15414363145828247,0.6766877174377441,0.3128674328327179,0.22597047686576843,0.7611094117164612,0.5174767971038818,0.5743787288665771,0.17876793444156647,0.48048752546310425,0.30871111154556274,0.3188028931617737,0.257548063993454,0.7271825671195984,0.7498951554298401,0.7054921984672546,0.3704706132411957,0.2901206314563751,0.3187772333621979,-0.04099879786372185,0.4977526366710663,0.5965708494186401,0.4728209972381592
r=0.20	0.683298647403717,0.3034154772758484,0.6869103312492371,0.19223767518997192,0.8657321333885193,0.34877923130989075,0.2645683288574219,0.8948878049850464,0.8375213146209717,-0.010933786630630493,0.1960984617471695,0.8751215934753418,0.2235037237405777,0.8862260580062866,0.7245408892631531,0.3273249864578247,-0.1077960878610611,0.15966802835464478,0.8359377384185791,0.8455906510353088,0.8817874193191528,0.25322917103767395,0.7776022553443909,0.34462034702301025,0.7682490348815918,0.11003702878952026,0.9150814414024353,0.2596795856952667,0.23219376802444458,0.7608486413955688,-0.3979538679122925,0.2949710190296173,0.8058182597160339,0.7490291595458984,0.8712226152420044,-0.018396152183413506,0.1170227900147438,0.32444897294044495,0.4418576657772064,0.29716914892196655,0.8373750448226929,0.9199702739715576,0.8840063214302063,0.4790620505809784,0.3008863925933838,0.08481520414352417,-0.2795538604259491,0.8503537774085999,0.9289554953575134,0.6076957583427429
r=0.30	0.34276828169822693,0.26816412806510925,-0.18915069103240967,0.20788045227527618,0.8393390774726868,0.36875033378601074,0.13265754282474518,0.7865726351737976,0.6551927328109741,0.054141703993082047,0.21405094861984253,0.8452159762382507,0.3372423052787781,0.8317312598228455,0.7181051969528198,0.3338879942893982,-0.1187949925661087,0.3362041711807251,0.8372759819030762,0.7608237862586975,0.815662145614624,0.18000322580337524,0.775691032409668,0.18164487183094025,0.7175216674804688,0.09845811128616333,0.8015269637107849,0.35795751214027405,0.24121735990047455,0.7515235543251038,0.03304448351264,0.2087891399860382,0.7899124622344971,0.8133099675178528,0.8854536414146423,0.4781453609466553,0.515757143497467,0.2559700012207031,0.23431794345378876,-0.18671691417694092,0.9020664691925049,0.8286380767822266,0.6086289286613464,0.6827678084373474,0.2226085662841797,0.00723239965736866,0.10967063903808594,0.4172059893608093,0.6153966188430786,-0.043129708617925644
r=0.40	0.4923776686191559,0.42498886585235596,-0.14626187086105347,0.34481218457221985,0.745575487613678,0.38959386944770813,-0.05642595887184143,0.7912502884864807,0.7517935037612915,0.018863463774323463,0.3089449107646942,0.6961317658424377,0.22943133115768433,0.20739582180976868,0.6741222143173218,0.5027071833610535,0.39583179354667664,0.36014068126678467,0.7747787833213806,0.781831681728363,0.8090062141418457,-0.43480467796325684,0.7560200691223145,-0.2409757524728775,0.692907452583313,0.3061782419681549,0.3804369866847992,0.38518384099006653,0.4804026484489441,0.7505420446395874,-0.17470547556877136,0.20854687690734863,0.726993203163147,0.7187126874923706,0.803001344203949,0.4207973778247833,0.6442105174064636,0.33266717195510864,0.34375709295272827,-0.3281097710132599,0.8264303803443909,-0.147674560546875,0.7640812993049622,0.5355218648910522,0.3083631098270416,0.1776229590177536,-0.08728890120983124,0.6289169192314148,0.7394818067550659,-0.08506474643945694
r=0.50	-0.27742674946784973,0.21932987868785858,0.14064396917819977,0.44369614124298096,0.8798515796661377,0.4254888892173767,-0.16049376130104065,0.7169130444526672,0.4607377350330353,0.011778983287513256,0.17558613419532776,0.7699993848800659,0.21195663511753082,0.4040018618106842,0.8093558549880981,0.4215366244316101,0.4216480255126953,0.07354777306318283,0.7801254391670227,0.6457644104957581,0.8235408663749695,-0.26907098293304443,0.8941299915313721,0.3065406084060669,0.4847261905670166,0.050496116280555725,0.765675961971283,0.33488717675209045,0.14854678511619568,0.7756808996200562,0.5463992953300476,0.2357110232114792,0.8218550682067871,0.5546296238899231,0.7489747405052185,0.5088636875152588,0.012147702276706696,0.48395028710365295,0.3190572261810303,0.3198418617248535,0.8226114511489868,0.8088953495025635,0.7212563753128052,0.5682946443557739,0.36451488733291626,0.18402887880802155,-0.002143952064216137,0.753585696220398,0.1318664699792862,0.11716097593307495
r=0.60	-0.2357279360294342,0.1373075395822525,0.14066368341445923,0.3953596353530884,0.6878432035446167,0.3280576467514038,0.20717446506023407,0.6931491494178772,0.6106765866279602,0.008068925701081753,0.2568325698375702,0.6065541505813599,0.23820549249649048,0.2253088802099228,0.6920880675315857,0.5002934336662292,0.31584858894348145,0.1799229234457016,0.7547279596328735,-0.20339366793632507,0.7938669323921204,0.26147550344467163,0.7850752472877502,0.030227527022361755,0.8354266881942749,0.07873433828353882,0.5659154653549194,0.4043402671813965,0.19125798344612122,0.8561066389083862,0.5943541526794434,0.2685243785381317,-0.19377382099628448,0.7979736924171448,0.8712155818939209,0.45696404576301575,0.5457147359848022,0.2128826379776001,0.44094210863113403,0.2837894558906555,0.7757830619812012,0.19213975965976715,0.8968379497528076,0.47263699769973755,0.35855546593666077,0.06429915130138397,0.1266142874956131,0.48870304226875305,0.42239001393318176,-0.1098855510354042
r=0.70	0.22966347634792328,0.2555426359176636,0.12377426028251648,0.5606359243392944,0.8923110365867615,0.17450757324695587,0.3604840040206909,0.6011424660682678,0.5722524523735046,0.05156238377094269,0.19008617103099823,0.5014981627464294,0.21611498296260834,0.4257970452308655,0.750812828540802,0.5732086896896362,0.3525986671447754,0.1546444445848465,0.600992739200592,0.4490138292312622,0.6725242137908936,0.13734157383441925,0.8533133268356323,0.5876105427742004,0.7439060211181641,0.13575372099876404,0.721232533454895,0.27369964122772217,0.06864738464355469,0.6059814095497131,0.46970608830451965,0.27023276686668396,0.771848738193512,0.6544493436813354,0.7430902123451233,0.7947613596916199,0.14617867767810822,0.32649660110473633,0.3174475431442261,0.08687501400709152,0.30682775378227234,-0.10979976505041122,0.7561168074607849,-0.3693043887615204,0.45993003249168396,0.4608074724674225,-0.021763760596513748,0.44362568855285645,0.01614278554916382,-0.14525066316127777
r=0.80	-0.2320411652326584,0.1636040359735489,0.7384982705116272,0.46098223328590393,0.8623239398002625,0.3677801489830017,0.3703397810459137,0.36241504549980164,0.6186840534210205,0.33755338191986084,0.26650336384773254,0.22165296971797943,0.3975987434387207,0.3401314318180084,0.7450041770935059,0.47853735089302063,0.43679773807525635,0.2820459008216858,0.62264484167099,0.7772471904754639,0.8171555399894714,-0.17852462828159332,0.7915090918540955,-0.08435854315757751,0.41725635528564453,0.008579063229262829,0.5774168372154236,0.18167802691459656,0.28358015418052673,0.7831249237060547,-0.22607603669166565,0.20553678274154663,0.6265370845794678,0.5412495732307434,0.7887532114982605,0.2599647045135498,0.6813993453979492,0.27052193880081177,0.3871842324733734,-0.0647469237446785,0.6200677752494812,0.26702365279197693,0.8794836401939392,0.40531545877456665,0.43524491786956787,0.008256117813289165,0.23453420400619507,0.6676095724105835,0.8433907628059387,-0.1272478848695755
